Level,Date and Time,Source,Event ID,Task Category
Information,1/31/2020 8:33:01 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/31/2020 8:32:58 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,1/31/2020 7:36:52 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH10PG8-MICROSOFT.PEOPLE
Information,1/31/2020 7:36:52 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH10PG8-MICROSOFT.PEOPLE
Information,1/31/2020 7:36:47 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/31/2020 7:36:47 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFHWKN-MICROSOFT.WINDOWSSOUNDRECORDER
Information,1/31/2020 7:36:47 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFHWKN-MICROSOFT.WINDOWSSOUNDRECORDER
Information,1/31/2020 7:36:47 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Error,1/31/2020 7:36:47 PM,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D02: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS.
Information,1/31/2020 7:36:43 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS
Information,1/31/2020 7:36:43 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/31/2020 7:36:43 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/31/2020 7:36:43 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/31/2020 7:36:43 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/31/2020 3:00:46 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 3 updates.
Information,1/31/2020 1:51:05 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.309.102.0)
Information,1/31/2020 1:50:58 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.309.102.0)
Information,1/31/2020 1:50:58 PM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/31/2020 1:50:58 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/31/2020 1:50:58 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 0 updates.
Information,1/31/2020 1:50:58 PM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 1 updates.
Information,1/31/2020 10:12:53 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.309.97.0)
Information,1/31/2020 10:12:37 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Windows Defender Antivirus - KB2267602 (Version 1.309.97.0)
Information,1/31/2020 10:12:37 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,The system has resumed from sleep.
Information,1/31/2020 10:12:31 AM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,1/31/2020 10:12:31 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,"The system is entering sleep.

Sleep Reason: System Idle"
Information,1/31/2020 10:12:31 AM,Microsoft-Windows-WindowsUpdateClient,26,Windows Update Agent,Windows Update successfully found 3 updates.
Information,1/31/2020 1:53:07 AM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/31/2020 1:53:03 AM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Application API"
Information,1/30/2020 5:12:58 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/30/2020 5:12:55 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,1/30/2020 12:46:12 PM,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,1/30/2020 12:46:09 PM,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: System Idle"
Information,1/30/2020 11:50:18 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH6J6VK-828B5831.HiddenCityMysteryofShadows
Information,1/30/2020 11:50:18 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH6J6VK-828B5831.HiddenCityMysteryofShadows
Information,1/30/2020 11:50:18 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/30/2020 11:50:13 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NBLGGH18846-KING.COM.CANDYCRUSHSAGA
Information,1/30/2020 11:50:08 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NBLGGH18846-KING.COM.CANDYCRUSHSAGA
Information,1/30/2020 11:50:08 AM,Microsoft-Windows-WindowsUpdateClient,41,Windows Update Agent,An update was downloaded.
Information,1/30/2020 11:50:08 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
Information,1/30/2020 11:50:08 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFJ3P2-MICROSOFT.ZUNEVIDEO
